오브젝트유형,액티비티유형,단가,KEY1,수량,금액,단가,DIFF,수량없는 금액
109191,1000,27.19529973,1091911000,95320,2596605.97,27.24093548,0.045635753,0
109191,2000,4.406210659,1091912000,95320,420000,4.406210659,0,0
109191,3000,55.03831127,1091913000,95320,5246251.83,55.03831127,0,0
109191,4000,1.143138542,1091914000,60920,69640,1.143138542,-3.77476E-15,0
109191,5000,0.104909778,1091915000,95320,10000,0.104909778,-4.996E-16,0
109191,6000,18.94002707,1091916000,95320,1805363.38,18.94002707,0,0
109192,1000,37.67813983,1091921000,68800,2596606.02,37.74136657,-0.063226744,0
109192,2000,6.104651163,1091922000,68800,420000,6.104651163,-7.99361E-15,0
109192,3000,76.39900988,1091923000,68800,5256251.88,76.39900988,-1.27898E-13,0
109192,4000,1.012209302,1091924000,68800,69640,1.012209302,-1.13243E-14,0
109192,5000,0.145348837,1091925000,68800,10000,0.145348837,-3.33067E-16,0
109192,6000,26.24074767,1091926000,68800,1805363.44,26.24074767,0,0
109291,1000,55.09494821,1092911000,28700,1544877.05,53.82846864,1.266479573,0
109291,2000,7.65,1092912000,28700,214200,7.463414634,0.186585366,0
109291,3000,97.30672929,1092913000,28700,2724588.42,94.93339443,2.373334861,0
109291,4000,0,1092914000,0,35516.4,0,0,35516.4
109291,5000,0,1092915000,0,5100,0,0,5100
109291,6000,0,1092916000,0,968170.96,0,0,968170.96
109292,1000,62.38692833,1092921000,24000,1499439.53,62.47664708,-0.08971875,0
109292,2000,8.6625,1092922000,24000,207900,8.6625,0,0
109292,3000,110.7247767,1092923000,24000,2657394.64,110.7247767,3.2685E-13,0
109292,4000,0,1092924000,0,34471.8,0,0,34471.8
109292,5000,0,1092925000,0,4950,0,0,4950
109292,6000,0,1092926000,0,939695.33,0,0,939695.33
109293,1000,55.45505222,1092931000,27000,1499439.66,55.53480222,-0.07975,0
109293,2000,7.7,1092932000,27000,207900,7.7,0,0
109293,3000,98.79239556,1092933000,27000,2667394.68,98.79239556,0,0
109293,4000,0,1092934000,0,34471.8,0,0,34471.8
109293,5000,0,1092935000,0,4950,0,0,4950
109293,6000,0,1092936000,0,939695.54,0,0,939695.54
109391,1000,106.44744,1093911000,14000,1492482.66,106.6059043,-0.158464286,0
109391,2000,15.3,1093912000,14000,214200,15.3,0,0
109391,3000,194.6134586,1093913000,14000,2724588.42,194.6134586,4.54747E-13,0
109391,4000,0,1093914000,0,35516.4,0,0,35516.4
109391,5000,0,1093915000,0,5100,0,0,5100
109391,6000,0,1093916000,0,955693.75,0,0,955693.75
109392,1000,96.428858,1093921000,15000,1448586.12,96.572408,-0.14355,0
109392,2000,13.86,1093922000,15000,207900,13.86,-9.9476E-14,0
109392,3000,177.1596433,1093923000,15000,2657394.65,177.1596433,-3.12639E-13,0
109392,4000,0,1093924000,0,34471.8,0,0,34471.8
109392,5000,0,1093925000,0,4950,0,0,4950
109392,6000,0,1093926000,0,927585.12,0,0,927585.12
109393,1000,90.4020625,1093931000,16000,1448586.25,90.53664063,-0.134578125,0
109393,2000,12.99375,1093932000,16000,207900,12.99375,-9.9476E-14,0
109393,3000,166.7121681,1093933000,16000,2667394.69,166.7121681,0,0
109393,4000,0,1093934000,0,34471.8,0,0,34471.8
109393,5000,0,1093935000,0,4950,0,0,4950
109393,6000,0,1093936000,0,927585.37,0,0,927585.37