질문,답변
"FERT101 상품에 대한 정보를 보여줘","{""option"": ""FERT101""}"
"FERT102 제품의 원가계산서를 확인하고 싶어","{""option"": ""FERT102"", ""active_tab"": 1}"
"FERT103으로 분석해줘","{""option"": ""FERT103""}"
"FERT201 상품으로 전환해줘","{""option"": ""FERT201""}"
"FERT202 제품의 BOM 구조가 궁금해","{""option"": ""FERT202""}"
"FERT106 제품으로 바꿔서 보여줘","{""option"": ""FERT106""}"
"ROH0001 원재료 정보를 보여줘","{""option2"": ""ROH0001""}"
"ROH0002로 원재료를 변경해줘","{""option2"": ""ROH0002""}"
"ROH2001 원자재로 설정해줘","{""option2"": ""ROH2001""}"
"ROH2003 원재료의 영향을 보고 싶어","{""option2"": ""ROH2003""}"
"ROH0003 원재료로 바꿔줘","{""option2"": ""ROH0003""}"
"FERT101 상품의 입고 수량을 5% 증가시켜줘","{""option"": ""FERT101"", ""m10change"": ""5.0""}"
"FERT104 제품의 입고량을 10% 늘려서 계산해줘","{""option"": ""FERT104"", ""m10change"": ""10.0""}"
"FERT102 상품의 입고 수량을 8% 올려서 원가계산서를 보여줘","{""option"": ""FERT102"", ""m10change"": ""8.0"", ""active_tab"": 1}"
"FERT201의 입고를 3% 감소시켰을 때 손익요약을 보여줘","{""option"": ""FERT201"", ""m10change"": ""-3.0"", ""active_tab"": 2}"
"FERT105 상품 입고량을 7% 줄여서 분석해줘","{""option"": ""FERT105"", ""m10change"": ""-7.0""}"
"FERT203 제품의 입고 수량을 12% 증가시켰을 때 영향을 보여줘","{""option"": ""FERT203"", ""m10change"": ""12.0""}"
"FERT101 입고량 2% 감소시킨 수불부를 보고 싶어","{""option"": ""FERT101"", ""m10change"": ""-2.0"", ""active_tab"": 0}"
"FERT101 판매 수량을 6% 증가시켜줘","{""option"": ""FERT101"", ""m20change"": ""6.0""}"
"FERT203 제품의 판매량을 4% 늘려서 계산해줘","{""option"": ""FERT203"", ""m20change"": ""4.0""}"
"FERT106 판매 수량을 9% 올려서 원가계산서를 보여줘","{""option"": ""FERT106"", ""m20change"": ""9.0"", ""active_tab"": 1}"
"FERT105의 판매를 7% 감소시켰을 때 손익요약을 보여줘","{""option"": ""FERT105"", ""m20change"": ""-7.0"", ""active_tab"": 2}"
"FERT102 제품 판매량을 5% 줄여서 분석해줘","{""option"": ""FERT102"", ""m20change"": ""-5.0""}"
"FERT104 상품의 판매 수량을 11% 증가시켰을 때 영향을 보여줘","{""option"": ""FERT104"", ""m20change"": ""11.0""}"
"FERT201 판매량 3% 감소시킨 수불부를 보고 싶어","{""option"": ""FERT201"", ""m20change"": ""-3.0"", ""active_tab"": 0}"
"USD 환율을 4% 올려서 계산해줘","{""m110change"": ""4.0""}"
"달러 환율을 2.5% 상승시켰을 때 FERT102의 원가계산서를 보여줘","{""option"": ""FERT102"", ""m110change"": ""2.5"", ""active_tab"": 1}"
"미국 달러 환율이 6% 하락했을 때 FERT201의 손익은?","{""option"": ""FERT201"", ""m110change"": ""-6.0"", ""active_tab"": 2}"
"USD 환율 3% 증가시 FERT103 제품의 수불부를 보여줘","{""option"": ""FERT103"", ""m110change"": ""3.0"", ""active_tab"": 0}"
"달러 가치가 8% 떨어졌을 때 FERT105의 영향을 분석해줘","{""option"": ""FERT105"", ""m110change"": ""-8.0""}"
"환율이 7% 상승했을 때 FERT106의 제조원가명세서를 보여줘","{""option"": ""FERT106"", ""m110change"": ""7.0"", ""active_tab"": 4}"
"ROH0001 원재료 구매단가를 5% 올려줘","{""option2"": ""ROH0001"", ""m50change2"": ""5.0""}"
"ROH0003 원자재 가격을 3% 내려서 분석해줘","{""option2"": ""ROH0003"", ""m50change2"": ""-3.0""}"
"ROH2001의 구매단가가 7% 상승했을 때 FERT101의 원가계산서를 보여줘","{""option"": ""FERT101"", ""option2"": ""ROH2001"", ""m50change2"": ""7.0"", ""active_tab"": 1}"
"ROH2002 가격이 4% 내려갔을 때 FERT202의 수불부는?","{""option"": ""FERT202"", ""option2"": ""ROH2002"", ""m50change2"": ""-4.0"", ""active_tab"": 0}"
"ROH0002 원재료 단가를 6% 올려서 FERT103의 손익요약을 보여줘","{""option"": ""FERT103"", ""option2"": ""ROH0002"", ""m50change2"": ""6.0"", ""active_tab"": 2}"
"ROH2003 가격을 9% 인상했을 때 FERT201의 제조원가명세서는?","{""option"": ""FERT201"", ""option2"": ""ROH2003"", ""m50change2"": ""9.0"", ""active_tab"": 4}"
"FERT101 상품의 입고량 3% 증가, 판매량 5% 증가시켰을 때 원가계산서 보여줘","{""option"": ""FERT101"", ""m10change"": ""3.0"", ""m20change"": ""5.0"", ""active_tab"": 1}"
"FERT202 제품의 입고 5% 감소, USD 환율 4% 상승했을 때 수불부 변화는?","{""option"": ""FERT202"", ""m10change"": ""-5.0"", ""m110change"": ""4.0"", ""active_tab"": 0}"
"FERT105 상품, ROH0003 원재료 단가 6% 상승, 판매량 7% 증가시 손익요약","{""option"": ""FERT105"", ""option2"": ""ROH0003"", ""m50change2"": ""6.0"", ""m20change"": ""7.0"", ""active_tab"": 2}"
"FERT103 제품의 입고 2% 감소, 판매 4% 감소, USD 환율 3% 하락 시 영향","{""option"": ""FERT103"", ""m10change"": ""-2.0"", ""m20change"": ""-4.0"", ""m110change"": ""-3.0""}"
"FERT201, 환율 5% 상승, ROH2001 원재료 가격 8% 상승 시 제조원가명세서","{""option"": ""FERT201"", ""m110change"": ""5.0"", ""option2"": ""ROH2001"", ""m50change2"": ""8.0"", ""active_tab"": 4}"
"FERT104 입고 6% 증가, 판매 3% 증가, ROH0002 단가 2% 하락 시 원가계산서","{""option"": ""FERT104"", ""m10change"": ""6.0"", ""m20change"": ""3.0"", ""option2"": ""ROH0002"", ""m50change2"": ""-2.0"", ""active_tab"": 1}"
"FERT106, 입고 -4%, 판매 +8%, 환율 +3%, ROH2003 단가 -2% 변화 시 수불부","{""option"": ""FERT106"", ""m10change"": ""-4.0"", ""m20change"": ""8.0"", ""m110change"": ""3.0"", ""option2"": ""ROH2003"", ""m50change2"": ""-2.0"", ""active_tab"": 0}"
"FERT101의 생산량을 4% 늘리고 싶어","{""option"": ""FERT101"", ""m10change"": ""4.0""}"
"FERT203 생산을 10% 줄이면 어떻게 되나요?","{""option"": ""FERT203"", ""m10change"": ""-10.0""}"
"FERT102 제품의 매출이 5% 증가하면 어떻게 될까?","{""option"": ""FERT102"", ""m20change"": ""5.0""}"
"FERT105 판매가 6% 감소하면 손익에 어떤 영향이 있을까요?","{""option"": ""FERT105"", ""m20change"": ""-6.0"", ""active_tab"": 2}"
"달러가 7% 강세일 때 FERT201의 원가는?","{""option"": ""FERT201"", ""m110change"": ""7.0"", ""active_tab"": 1}"
"ROH0003 재료비가 5% 올라가면 FERT104 수익성은?","{""option"": ""FERT104"", ""option2"": ""ROH0003"", ""m50change2"": ""5.0"", ""active_tab"": 2}"
"FERT202 물량 3% 증가, 달러 4% 약세시 제조원가 영향","{""option"": ""FERT202"", ""m10change"": ""3.0"", ""m110change"": ""-4.0"", ""active_tab"": 4}"
"FERT106 생산 늘리고 판매도 늘릴 때 원가계산서 보여줘","{""option"": ""FERT106"", ""m10change"": ""5.0"", ""m20change"": ""5.0"", ""active_tab"": 1}"
"ROH2002 단가가 상승하면 FERT103 원가에 어떤 영향을 미칠까?","{""option"": ""FERT103"", ""option2"": ""ROH2002"", ""m50change2"": ""5.0"", ""active_tab"": 1}"
"FERT201 물량 증가시키고 원재료 가격 낮출 때 손익 개선되나?","{""option"": ""FERT201"", ""m10change"": ""5.0"", ""option2"": ""ROH2001"", ""m50change2"": ""-5.0"", ""active_tab"": 2}"
"수불부 탭으로 이동해줘","{""active_tab"": 0}"
"원가계산서 화면으로 전환해줘","{""active_tab"": 1}"
"손익요약 탭 보여줘","{""active_tab"": 2}"
"제조원가명세서-요약 탭으로 바꿔줘","{""active_tab"": 3}"
"제조원가명세서 탭 보여줘","{""active_tab"": 4}"
"FERT101 상품의 수불부 화면으로 이동","{""option"": ""FERT101"", ""active_tab"": 0}"
"FERT203 원가계산서 탭 보여줘","{""option"": ""FERT203"", ""active_tab"": 1}"
"FERT101 상품의 도넛 그래프를 보여줘","{""option3"": ""FERT101""}"
"FERT102 상품의 도넛 그래프를 보여줘","{""option3"": ""FERT102""}"
"FERT201 상품의 도넛 그래프를 보여줘","{""option3"": ""FERT201""}"
"FERT202 상품의 도넛 그래프를 보여줘","{""option3"": ""FERT202""}"